"","From","To","Mean","UCI","p.value"
"363","AUS","CHN",0.194452142040844,0.216072407437751,1
"364","AUS","JPN",0.0707250339275291,0.0811289080146639,0.993
"365","AUS","MSR",4.59244939294161e-07,1.36960148980622e-06,0.1
"366","AUS","SPM",1.19239922096362e-09,3.57719766289085e-09,0.311
"367","AUS","STP",7.76571722767547e-08,2.21923666080806e-07,0.094
"368","AUT","DEU",0.110890120026709,0.114182923987833,1
"369","AUT","FSM",1.00764518611504e-08,2.01529037223008e-08,0.077
"370","AUT","SPM",2.59908806663369e-09,7.79726419990106e-09,0.328
"371","AUT","TON",2.10634812241357e-07,4.32119338220363e-07,0.093
"372","AUT","TUV",2.05269708591321e-08,6.15809125773964e-08,0.329
"373","AUT","WLF",2.21618835840959e-07,6.53237467413933e-07,0.086
"374","AZE","BRB",6.70690073854523e-09,1.90783875354179e-08,0.103
"375","AZE","BLZ",5.20145695543669e-07,1.56043708663101e-06,0.333
"376","AZE","BEN",6.18128107266927e-08,1.47281657109242e-07,0.099
"377","AZE","BDI",1.04231468021782e-09,3.12694404065347e-09,0.34
"378","AZE","CPV",3.38274464385616e-06,1.01470720275576e-05,0.083
